kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,akreditasi_sekolah,jumlah_ma,satuan,tahun
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209100,BEBER,32.09.13,BEBER,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209100,BEBER,32.09.13,BEBER,B,5,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209100,BEBER,32.09.13,BEBER,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209100,BEBER,32.09.13,BEBER,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,GREGED,32.09.38,GREGED,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,GREGED,32.09.38,GREGED,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,GREGED,32.09.38,GREGED,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209101,GREGED,32.09.38,GREGED,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,TALUN,32.09.14,TALUN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,TALUN,32.09.14,TALUN,B,2,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,TALUN,32.09.14,TALUN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209111,TALUN,32.09.14,TALUN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,SUMBER,32.09.15,SUMBER,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,SUMBER,32.09.15,SUMBER,B,8,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,SUMBER,32.09.15,SUMBER,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209120,SUMBER,32.09.15,SUMBER,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,DUKUPUNTANG,32.09.16,DUKUPUNTANG,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,DUKUPUNTANG,32.09.16,DUKUPUNTANG,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,DUKUPUNTANG,32.09.16,DUKUPUNTANG,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209121,DUKUPUNTANG,32.09.16,DUKUPUNTANG,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,PALIMANAN,32.09.17,PALIMANAN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,PALIMANAN,32.09.17,PALIMANAN,B,2,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,PALIMANAN,32.09.17,PALIMANAN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209130,PALIMANAN,32.09.17,PALIMANAN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,PLUMBON,32.09.18,PLUMBON,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,PLUMBON,32.09.18,PLUMBON,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,PLUMBON,32.09.18,PLUMBON,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209140,PLUMBON,32.09.18,PLUMBON,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209141,DEPOK,32.09.31,DEPOK,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209141,DEPOK,32.09.31,DEPOK,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209141,DEPOK,32.09.31,DEPOK,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209141,DEPOK,32.09.31,DEPOK,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209150,WERU,32.09.19,WERU,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209150,WERU,32.09.19,WERU,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209150,WERU,32.09.19,WERU,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209150,WERU,32.09.19,WERU,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,PLERED,32.09.36,PLERED,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,PLERED,32.09.36,PLERED,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,PLERED,32.09.36,PLERED,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209151,PLERED,32.09.36,PLERED,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209161,TENGAH TANI,32.09.35,TENGAH TANI,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209161,TENGAH TANI,32.09.35,TENGAH TANI,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209161,TENGAH TANI,32.09.35,TENGAH TANI,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209161,TENGAH TANI,32.09.35,TENGAH TANI,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209162,KEDAWUNG,32.09.20,KEDAWUNG,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209162,KEDAWUNG,32.09.20,KEDAWUNG,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209162,KEDAWUNG,32.09.20,KEDAWUNG,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209162,KEDAWUNG,32.09.20,KEDAWUNG,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,GUNUNGJATI,32.09.21,GUNUNG JATI,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,GUNUNGJATI,32.09.21,GUNUNG JATI,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,GUNUNGJATI,32.09.21,GUNUNG JATI,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209171,GUNUNGJATI,32.09.21,GUNUNG JATI,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209180,KAPETAKAN,32.09.39,KAPETAKAN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209180,KAPETAKAN,32.09.39,KAPETAKAN,B,2,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209180,KAPETAKAN,32.09.39,KAPETAKAN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209180,KAPETAKAN,32.09.39,KAPETAKAN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209181,SURANENGGALA,32.09.22,SURANENGGALA,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209181,SURANENGGALA,32.09.22,SURANENGGALA,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209181,SURANENGGALA,32.09.22,SURANENGGALA,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209181,SURANENGGALA,32.09.22,SURANENGGALA,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,KLANGENAN,32.09.23,KLANGENAN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,KLANGENAN,32.09.23,KLANGENAN,B,7,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,KLANGENAN,32.09.23,KLANGENAN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209190,KLANGENAN,32.09.23,KLANGENAN,BELUM,0,UNIT,2021
